Date-Time,AGCO,ALG,CAT,CNHI,DE,SAP
2000-01-24,13.06,10.69,45.31,,44.88,62.5
2000-01-25,12.12,10.5,43.63,,44.5,64.69
2000-01-26,12.12,10.88,44.94,,45.63,69.0
2000-01-27,11.88,10.88,44.56,,45.81,68.56
2000-01-28,11.44,10.88,43.5,,44.75,68.31
2000-01-31,11.62,10.94,42.44,,43.69,65.19
2000-02-01,11.88,11.0,43.19,,42.75,66.44
2000-02-02,11.81,12.06,43.44,,42.63,65.0
2000-02-03,11.81,12.19,42.31,,41.25,66.25
2000-02-04,10.75,12.12,42.31,,40.88,68.88
2000-02-07,11.94,12.19,41.25,,41.31,68.56
2000-02-08,11.5,12.06,41.0,,40.06,71.88
2000-02-09,11.38,12.06,39.13,,40.0,72.38
2000-02-10,10.75,12.0,38.06,,37.5,70.88
2000-02-11,10.19,12.06,36.0,,36.19,69.25
2000-02-14,11.12,12.12,38.63,,39.0,69.62
2000-02-15,11.12,12.0,40.0,,40.44,67.62
2000-02-16,11.0,11.75,39.19,,39.31,68.0
2000-02-17,10.75,11.75,38.69,,39.81,71.31
2000-02-18,10.56,11.75,37.69,,38.5,70.69
2000-02-22,10.81,11.94,38.31,,40.0,72.25
2000-02-23,10.81,12.0,37.81,,38.5,73.31
2000-02-24,10.88,12.0,36.25,,37.0,72.81
2000-02-25,11.12,12.12,36.0,,36.94,70.56
2000-02-28,11.38,12.12,35.56,,36.94,71.0
2000-02-29,11.0,12.0,35.06,,35.75,71.31
2000-03-01,10.88,11.94,34.88,,37.0,71.5
2000-03-02,10.69,11.75,34.44,,34.56,72.38
2000-03-03,11.19,12.0,36.38,,34.88,74.94
2000-03-06,11.25,12.0,36.69,,34.19,81.56
2000-03-07,10.88,12.0,33.81,,30.38,81.94
2000-03-08,10.69,11.88,34.94,,35.25,81.25
2000-03-09,10.19,11.12,35.25,,35.69,83.5
2000-03-10,10.38,11.0,35.69,,35.5,83.94
2000-03-13,10.19,10.75,35.63,,35.31,79.94
2000-03-14,10.06,10.62,35.81,,34.56,77.44
2000-03-15,10.81,10.5,38.25,,37.5,72.44
2000-03-16,12.0,10.62,40.69,,39.5,71.81
2000-03-17,11.44,10.62,39.63,,38.19,73.0
2000-03-20,11.69,10.5,38.5,,38.31,76.31
2000-03-21,12.0,11.0,39.81,,38.56,75.25
2000-03-22,12.06,11.0,38.94,,38.19,76.69
2000-03-23,11.62,11.0,39.56,,38.81,72.81
2000-03-24,11.75,11.0,39.5,,38.38,74.44
2000-03-27,11.0,11.0,39.06,,37.63,75.5
2000-03-28,10.94,11.5,38.31,,36.88,72.12
2000-03-29,11.06,11.38,39.0,,37.25,59.0
2000-03-30,11.38,11.62,40.75,,39.06,58.0
2000-03-31,11.38,11.62,39.44,,38.0,59.75
2000-04-03,11.06,11.62,41.88,,38.88,54.5
2000-04-04,10.81,11.69,43.44,,40.19,53.12
2000-04-05,10.56,11.56,42.44,,40.31,55.38
2000-04-06,10.81,11.5,42.31,,40.0,59.19
2000-04-07,10.94,11.25,41.38,,39.0,58.56
2000-04-10,10.69,11.25,41.44,,39.25,54.06
2000-04-11,11.0,11.69,42.06,,40.31,53.88
2000-04-12,12.06,11.5,43.44,,42.44,50.0
2000-04-13,12.12,11.5,42.0,,41.5,49.75
2000-04-14,11.75,11.38,40.5,,40.25,45.94
2000-04-17,12.0,11.25,40.94,,39.25,50.5
2000-04-18,12.12,11.06,40.25,,39.88,49.81
2000-04-19,11.62,11.12,37.63,,38.56,48.38
2000-04-20,11.94,11.12,38.0,,38.88,44.44
2000-04-24,11.25,11.0,39.0,,38.81,42.81
2000-04-25,11.88,10.88,40.13,,40.94,48.75
2000-04-26,11.88,10.81,39.75,,40.13,48.38
2000-04-27,11.81,10.69,40.13,,40.88,48.0
2000-04-28,11.88,10.88,39.44,,40.38,49.12
2000-05-01,11.94,11.0,38.81,,40.44,51.0
2000-05-02,12.0,11.5,39.63,,40.69,50.0
2000-05-03,11.81,11.5,38.88,,40.56,47.44
2000-05-04,11.94,11.25,37.94,,39.94,48.06
2000-05-05,11.69,11.12,39.06,,39.38,50.19
2000-05-08,11.75,11.19,38.94,,40.25,48.5
2000-05-09,11.75,11.0,38.0,,40.06,46.75
2000-05-10,12.06,11.06,38.38,,41.75,43.94
2000-05-11,11.94,11.5,38.81,,41.5,45.31
2000-05-12,13.5,11.5,39.38,,44.06,46.12
2000-05-15,13.56,11.62,40.56,,44.94,45.62
2000-05-16,14.38,11.88,40.25,,46.56,47.19
2000-05-17,13.94,12.25,40.0,,46.56,45.38
2000-05-18,13.88,12.25,38.81,,46.31,43.75
2000-05-19,13.25,12.38,40.06,,46.81,41.56
2000-05-22,13.25,12.62,40.19,,49.56,41.44
2000-05-23,12.75,12.88,39.5,,47.31,40.94
2000-05-24,13.56,12.88,39.69,,47.13,42.56
2000-05-25,13.06,12.62,38.06,,47.94,41.62
2000-05-26,12.81,12.38,38.13,,44.69,42.06
2000-05-30,12.62,12.31,38.31,,45.25,44.0
2000-05-31,12.5,11.94,38.06,,41.56,42.88
2000-06-01,12.81,12.19,39.75,,42.88,46.19
2000-06-02,12.94,12.25,41.06,,42.0,48.5
2000-06-05,12.44,12.94,40.0,,41.94,49.38
2000-06-06,12.5,13.25,39.06,,43.81,47.56
2000-06-07,12.5,13.25,38.81,,43.06,49.12
2000-06-08,12.31,13.19,38.13,,42.25,48.69
2000-06-09,12.31,13.12,38.25,,41.5,48.0
2000-06-12,12.19,12.94,38.63,,41.71,46.75
2000-06-13,12.19,13.0,37.25,,40.31,46.75
2000-06-14,12.38,13.25,37.63,,42.94,48.81
2000-06-15,12.25,13.25,37.0,,42.13,50.44
2000-06-16,12.12,12.5,35.94,,41.38,49.25
2000-06-19,11.56,12.5,35.13,,40.19,51.69
2000-06-20,11.31,12.5,35.06,,39.19,53.5
2000-06-21,11.25,12.88,35.13,,39.25,51.75
2000-06-22,10.94,12.88,34.44,,37.06,49.12
2000-06-23,10.69,13.0,34.63,,37.69,50.0
2000-06-26,10.81,12.75,34.81,,37.5,49.62
2000-06-27,11.38,12.94,35.69,,39.13,50.38
2000-06-28,11.56,12.81,36.16,,38.78,49.75
2000-06-29,11.69,12.38,35.0,,36.88,47.25
2000-06-30,12.25,12.5,33.88,,37.0,46.62
2000-07-03,11.94,12.5,36.0,,38.5,46.88
2000-07-05,12.25,12.19,35.19,,39.13,46.31
2000-07-06,12.19,12.12,34.81,,38.69,46.25
2000-07-07,11.88,12.44,33.94,,39.06,46.69
2000-07-10,11.94,12.75,34.25,,38.63,47.0
2000-07-11,12.12,12.62,36.13,,38.56,46.06
2000-07-12,12.56,12.88,36.56,,38.63,48.75
2000-07-13,13.0,12.94,35.94,,39.88,51.38
2000-07-14,13.06,12.88,35.75,,39.63,52.31
2000-07-17,12.81,12.88,35.72,,40.94,54.69
2000-07-18,12.88,12.94,37.75,,40.38,52.12
2000-07-19,12.94,12.62,37.94,,38.94,49.75
2000-07-20,13.06,12.69,37.06,,39.63,58.75
2000-07-21,12.88,12.88,36.5,,39.88,59.12
2000-07-24,12.81,12.75,36.25,,39.25,57.69
2000-07-25,13.06,13.12,35.88,,38.75,57.5
2000-07-26,12.94,13.06,34.75,,37.56,56.56
2000-07-27,13.0,12.94,34.88,,38.44,54.88
2000-07-28,12.94,13.0,35.06,,37.88,53.5
2000-07-31,12.88,13.0,34.06,,38.56,55.75
2000-08-01,12.88,13.0,34.31,,38.56,56.56
2000-08-02,12.94,13.0,35.0,,37.69,55.81
2000-08-03,12.94,13.0,35.06,,37.13,54.25
2000-08-04,12.94,13.12,34.84,,36.06,54.12
2000-08-07,12.81,13.19,36.69,,37.5,55.81
2000-08-08,12.94,13.12,38.38,,37.38,56.62
2000-08-09,12.88,13.25,37.56,,36.56,57.56
2000-08-10,12.19,13.25,37.5,,36.31,58.12
2000-08-11,12.12,13.25,38.63,,37.0,62.0
2000-08-14,12.25,13.12,39.06,,37.0,63.38
2000-08-15,12.0,13.25,38.66,,33.25,61.12
2000-08-16,11.5,13.25,39.19,,33.94,62.38
2000-08-17,10.88,13.19,38.25,,33.0,62.62
2000-08-18,10.0,13.38,38.19,,32.94,61.62
2000-08-21,10.69,13.19,37.69,,33.13,60.0
2000-08-22,10.88,13.12,37.81,,33.5,59.25
2000-08-23,10.75,13.0,37.13,,32.63,59.12
2000-08-24,10.94,13.25,37.69,,33.06,60.5
2000-08-25,10.75,13.25,37.63,,33.88,62.81
2000-08-28,11.12,13.25,37.19,,34.0,62.25
2000-08-29,11.0,13.44,38.06,,34.44,61.06
2000-08-30,10.62,13.38,37.56,,32.38,61.0
2000-08-31,10.5,13.12,36.77,,32.94,64.19
2000-09-01,10.5,12.88,37.31,,33.5,67.81
2000-09-05,10.38,12.75,38.06,,34.06,67.81
2000-09-06,10.5,12.62,38.69,,34.0,63.88
2000-09-07,10.44,12.62,38.06,,33.88,65.12
2000-09-08,10.25,12.5,37.81,,33.0,63.31
2000-09-11,10.56,12.75,38.31,,34.13,61.44
2000-09-12,10.5,12.88,38.0,,33.25,60.44
2000-09-13,10.44,13.0,38.69,,34.38,59.69
2000-09-14,10.56,12.88,39.25,,34.19,59.19
2000-09-15,10.44,13.12,37.44,,33.06,57.56
2000-09-18,10.31,13.19,36.06,,32.75,55.44
2000-09-19,10.19,13.12,35.5,,32.25,56.75
2000-09-20,10.06,12.88,35.19,,31.44,56.0
2000-09-21,10.44,12.75,34.81,,31.06,54.31
2000-09-22,10.56,12.75,35.13,,31.44,59.0
2000-09-25,10.94,12.81,35.5,,32.0,58.0
2000-09-26,10.94,12.81,35.0,,31.88,59.94
2000-09-27,10.94,12.62,33.5,,31.63,61.38
2000-09-28,11.31,12.88,34.0,,33.63,63.31
2000-09-29,11.88,12.69,31.0,,33.25,61.5
2000-10-02,11.56,12.88,34.25,,32.31,62.19
2000-10-03,11.69,12.5,35.06,,34.25,59.5
2000-10-04,11.56,12.62,35.13,,35.0,59.38
2000-10-05,11.5,12.75,35.0,,34.5,56.12
2000-10-06,11.69,12.5,34.5,,34.75,52.5
2000-10-09,11.81,12.5,34.56,,35.38,50.62
2000-10-10,11.5,12.62,33.38,,34.06,49.75
2000-10-11,11.31,12.62,33.25,,34.0,47.38
2000-10-12,11.0,12.56,31.88,,32.81,47.5
2000-10-13,11.38,12.69,31.69,,32.44,53.06
2000-10-16,11.5,12.69,31.75,,33.19,52.25
2000-10-17,11.38,12.62,30.5,,32.06,50.94
2000-10-18,11.5,12.5,29.81,,32.31,51.44
2000-10-19,11.5,12.62,30.5,,32.63,47.31
2000-10-20,11.38,13.0,30.69,,32.44,46.12
2000-10-23,11.19,13.12,31.44,,33.06,46.25
2000-10-24,11.75,12.88,31.88,,34.25,48.56
2000-10-25,11.81,12.88,31.31,,33.44,45.62
2000-10-26,11.62,12.94,31.81,,33.63,47.88
2000-10-27,11.12,13.0,32.88,,34.5,49.75
2000-10-30,11.56,13.12,34.94,,36.63,48.19
2000-10-31,11.38,12.94,35.06,,36.81,51.0
2000-11-01,11.25,12.94,34.75,,37.0,51.19
2000-11-02,11.0,12.88,34.81,,37.25,50.56
2000-11-03,10.81,12.88,34.81,,37.31,51.25
2000-11-06,10.69,12.88,36.19,,37.81,52.25
2000-11-07,10.5,13.0,36.13,,36.94,51.81
2000-11-08,10.5,13.25,36.44,,37.31,50.0
2000-11-09,10.25,13.19,36.56,,37.19,49.12
2000-11-10,10.12,13.19,35.75,,36.38,45.56
2000-11-13,9.94,12.88,36.19,,36.44,43.44
2000-11-14,10.31,12.88,36.06,,36.69,46.31
2000-11-15,10.25,12.81,36.69,,36.69,45.06
2000-11-16,9.69,13.12,36.31,,35.69,40.56
2000-11-17,10.19,13.12,36.94,,36.0,40.88
2000-11-20,10.0,13.06,37.19,,35.94,39.19
2000-11-21,10.44,13.06,38.25,,39.0,40.06
2000-11-22,10.12,13.25,37.81,,39.31,36.62
2000-11-24,10.38,13.19,38.88,,39.63,37.94
2000-11-27,10.31,13.06,39.69,,39.19,38.81
2000-11-28,10.0,13.5,39.0,,38.38,35.81
2000-11-29,9.88,13.44,40.13,,38.88,34.19
2000-11-30,9.75,13.25,39.31,,40.69,33.25
2000-12-01,10.0,13.12,40.69,,41.94,34.69
2000-12-04,10.31,13.12,43.31,,44.44,35.06
2000-12-05,10.06,13.25,43.38,,42.94,39.44
2000-12-06,9.94,13.5,41.56,,42.88,38.81
2000-12-07,9.88,13.5,41.56,,41.94,37.81
2000-12-08,10.12,13.25,41.63,,41.56,39.75
2000-12-11,10.12,13.25,42.38,,41.69,42.38
2000-12-12,10.38,13.25,42.38,,42.5,39.81
2000-12-13,10.0,13.25,41.69,,41.13,38.5
2000-12-14,9.88,13.25,40.69,,40.75,37.5
2000-12-15,9.94,13.12,40.81,,41.13,35.69
2000-12-18,9.94,13.25,42.31,,42.88,34.62
2000-12-19,10.06,13.44,42.88,,43.0,34.19
2000-12-20,9.94,13.44,43.06,,42.81,31.94
2000-12-21,10.12,13.38,44.75,,43.25,31.75
2000-12-22,10.25,13.38,46.63,,45.13,32.06
2000-12-26,10.44,13.25,47.75,,46.12,32.75
2000-12-27,11.0,13.19,47.5,,46.56,33.0
2000-12-28,11.56,13.12,47.63,,46.63,33.56
2000-12-29,12.12,13.06,47.31,,45.81,33.69
2001-01-02,11.88,13.44,46.31,,44.81,30.31
2001-01-03,12.0,13.12,46.5,,44.31,35.75
2001-01-04,12.12,13.5,48.69,,45.63,29.81
2001-01-05,11.94,13.5,45.88,,44.19,29.25
2001-01-08,11.94,13.5,45.75,,43.94,36.12
2001-01-09,12.0,13.94,45.69,,44.13,38.75
2001-01-10,12.0,13.81,45.06,,43.69,40.0
2001-01-11,12.0,13.94,45.44,,43.06,43.88
2001-01-12,11.69,13.88,43.69,,40.88,42.31
2001-01-16,12.0,14.0,44.69,,42.0,41.69
2001-01-17,11.94,14.38,45.0,,41.25,44.12
2001-01-18,11.56,14.0,41.75,,40.44,44.19
2001-01-19,11.25,14.25,40.63,,40.13,44.75
2001-01-22,11.12,14.25,40.88,,40.0,44.62
2001-01-23,11.31,14.19,41.63,,41.63,43.0
2001-01-24,11.5,14.19,42.19,,41.81,45.69
2001-01-25,11.62,14.25,43.31,,42.69,46.06
2001-01-26,11.44,14.5,43.25,,41.69,45.56
2001-01-29,11.82,14.62,43.1,,42.07,46.31
2001-01-30,12.0,14.75,44.4,,42.91,46.85
2001-01-31,11.99,14.75,44.22,,42.92,47.64
2001-02-01,11.99,14.65,44.33,,42.37,47.42
2001-02-02,11.81,14.65,44.27,,42.5,45.83
2001-02-05,11.95,14.75,43.77,,42.36,46.09
2001-02-06,11.92,14.75,43.52,,41.89,45.36
2001-02-07,11.99,14.67,43.61,,42.41,44.04
2001-02-08,11.72,14.7,43.18,,42.24,42.86
2001-02-09,11.82,14.7,43.0,,42.83,41.73
2001-02-12,11.8,14.7,43.13,,41.71,42.2
2001-02-13,11.97,14.61,43.26,,42.15,41.92
2001-02-14,12.0,14.75,42.92,,41.96,42.3
2001-02-15,11.92,15.1,44.12,,42.05,43.51
2001-02-16,11.73,15.0,43.67,,41.85,44.34
2001-02-20,11.35,14.9,41.8,,40.41,42.8
2001-02-21,11.0,14.5,40.96,,39.75,42.4
2001-02-22,11.23,14.65,40.69,,39.63,41.11
2001-02-23,11.08,15.15,40.09,,39.31,39.35
2001-02-26,11.28,15.5,41.63,,40.87,39.55
2001-02-27,11.57,15.58,42.49,,40.87,38.46
2001-02-28,11.8,15.5,41.6,,40.7,38.69
2001-03-01,11.71,15.5,42.0,,40.62,38.89
2001-03-02,11.16,15.6,42.68,,41.3,35.8
2001-03-05,10.5,15.3,44.33,,42.41,35.98
2001-03-06,10.5,15.45,44.51,,42.73,37.4
2001-03-07,10.7,15.45,46.8,,45.32,38.45
2001-03-08,10.6,15.55,47.79,,45.91,36.95
2001-03-09,10.58,15.4,46.84,,44.47,34.79
2001-03-12,10.08,15.25,44.96,,42.6,31.79
2001-03-13,10.05,15.2,46.05,,43.55,33.44
2001-03-14,10.04,15.0,44.79,,42.24,32.8
2001-03-15,11.06,15.0,45.0,,42.06,30.65
2001-03-16,10.8,14.8,44.6,,41.28,28.59
2001-03-19,10.81,14.5,45.14,,41.37,29.7
2001-03-20,10.77,14.25,43.87,,40.33,29.51
2001-03-21,9.99,14.1,42.18,,38.17,28.9
2001-03-22,9.49,13.75,41.37,,37.66,31.0
2001-03-23,9.48,13.7,41.77,,36.14,30.5
2001-03-26,9.73,13.85,42.94,,36.5,30.87
2001-03-27,9.95,13.8,44.8,,37.12,32.93
2001-03-28,9.73,13.92,45.5,,37.37,29.63
2001-03-29,9.58,14.15,44.62,,36.85,28.6
2001-03-30,9.6,14.3,44.38,,36.34,28.99
2001-04-02,9.14,14.2,44.44,,36.0,27.0
2001-04-03,8.39,14.0,42.16,,34.6,24.39
2001-04-04,8.0,14.23,43.55,,35.44,25.26
2001-04-05,8.07,14.25,45.78,,36.8,30.19
2001-04-06,8.07,14.45,44.55,,36.8,27.8
2001-04-09,8.3,14.45,44.98,,37.1,28.23
2001-04-10,8.2,14.63,45.7,,38.02,30.7
2001-04-11,8.3,14.95,45.14,,36.82,30.2
2001-04-12,8.4,14.75,47.01,,38.0,33.18
2001-04-16,8.35,14.55,46.75,,38.53,31.36
2001-04-17,8.47,14.37,45.75,,38.55,31.26
2001-04-18,9.08,14.45,48.45,,40.43,34.8
2001-04-19,9.5,14.2,47.68,,39.17,38.59
2001-04-20,8.86,14.38,47.88,,39.53,37.85
2001-04-23,8.98,14.15,48.25,,39.0,35.55
2001-04-24,9.0,14.2,48.3,,38.55,36.65
2001-04-25,9.1,14.12,50.0,,39.11,38.0
2001-04-26,8.3,13.85,49.35,,40.5,39.01
2001-04-27,8.93,13.85,50.31,,41.05,40.03
2001-04-30,8.7,13.98,50.2,,41.07,40.3
2001-05-01,8.5,14.25,50.78,,41.5,40.99
2001-05-02,8.58,14.23,50.3,,41.04,39.47
2001-05-03,8.38,13.96,50.04,,39.92,36.99
2001-05-04,8.62,13.95,50.55,,40.0,37.66
2001-05-07,8.8,13.75,51.51,,40.3,38.3
2001-05-08,8.8,13.6,51.85,,40.27,37.82
2001-05-09,8.63,13.6,52.0,,40.9,36.52
2001-05-10,8.6,13.6,53.43,,41.15,37.56
2001-05-11,8.33,13.6,53.2,,41.0,36.52
2001-05-14,8.3,14.15,52.82,,41.01,36.5
2001-05-15,8.3,14.38,53.14,,38.52,36.39
2001-05-16,8.1,14.38,55.91,,39.61,37.6
2001-05-17,8.1,14.9,55.25,,38.91,38.24
2001-05-18,8.06,15.12,55.25,,38.95,38.29
2001-05-21,8.15,15.12,55.7,,38.56,39.23
2001-05-22,8.35,14.6,56.2,,38.96,38.7
2001-05-23,8.26,14.3,55.0,,38.16,37.77
2001-05-24,8.35,14.95,54.4,,37.29,39.4
2001-05-25,8.53,14.95,54.0,,36.93,38.4
2001-05-29,8.67,14.95,55.14,,36.99,36.58
2001-05-30,8.56,14.38,53.4,,36.33,35.0
2001-05-31,8.65,14.25,54.16,,37.36,35.11
2001-06-01,8.93,14.25,54.85,,37.5,35.23
2001-06-04,8.8,14.01,55.78,,37.34,36.5
2001-06-05,8.77,14.01,55.89,,38.0,37.81
2001-06-06,8.65,14.15,54.65,,37.9,37.3
2001-06-07,8.73,14.25,54.98,,38.08,37.6
2001-06-08,8.6,14.15,54.33,,38.18,37.2
2001-06-11,8.5,14.2,53.36,,37.32,37.09
2001-06-12,8.49,14.2,53.82,,37.7,36.29
2001-06-13,8.45,14.1,54.04,,38.03,36.15
2001-06-14,8.51,14.1,54.19,,38.8,33.52
2001-06-15,8.3,14.13,54.15,,38.74,33.5
2001-06-18,8.02,14.01,54.46,,38.98,32.89
2001-06-19,8.05,14.0,53.89,,39.04,34.93
2001-06-20,8.32,14.25,55.5,,38.92,36.01
2001-06-21,8.31,14.33,55.99,,39.43,36.45
2001-06-22,8.31,14.4,54.65,,38.95,36.25
2001-06-25,8.18,14.3,52.65,,38.19,35.62
2001-06-26,8.65,14.3,53.2,,38.01,34.91
2001-06-27,8.65,14.42,52.29,,38.0,34.56
2001-06-28,8.85,14.3,50.66,,37.04,34.75
2001-06-29,9.15,14.25,50.05,,37.85,35.09
2001-07-02,8.88,14.45,51.96,,37.87,34.5
2001-07-03,9.04,14.45,51.99,,37.91,33.5
2001-07-05,9.18,14.5,51.68,,37.59,31.14
2001-07-06,9.0,14.49,49.6,,36.23,29.3
2001-07-09,9.22,14.49,50.4,,37.41,29.53
2001-07-10,9.25,14.59,48.78,,37.02,29.57
2001-07-11,9.4,14.61,49.0,,38.69,29.96
2001-07-12,9.86,14.63,51.9,,42.4,32.86
2001-07-13,9.9,14.51,52.48,,42.02,33.06
2001-07-16,9.6,14.5,50.37,,40.5,32.06
2001-07-17,9.68,14.51,53.55,,41.22,32.74
2001-07-18,9.31,14.52,52.68,,41.1,31.15
2001-07-19,9.45,14.63,54.2,,41.58,34.85
2001-07-20,9.56,14.4,54.0,,41.03,34.01
2001-07-23,9.49,14.55,53.9,,40.8,34.4
2001-07-24,9.28,14.55,52.9,,40.17,33.89
2001-07-25,9.65,14.65,53.0,,40.53,34.3
2001-07-26,9.95,14.65,52.57,,40.04,35.25
2001-07-27,9.87,14.55,52.75,,40.83,35.3
2001-07-30,10.25,14.55,53.55,,42.0,35.89
2001-07-31,10.31,14.55,55.1,,41.95,36.08
2001-08-01,10.46,14.55,53.95,,42.25,37.73
2001-08-02,10.32,14.63,54.6,,42.08,37.7
2001-08-03,10.49,14.1,54.45,,42.22,37.3
2001-08-06,10.37,14.1,52.95,,41.36,36.25
2001-08-07,10.49,14.1,53.3,,41.38,36.7
2001-08-08,10.25,14.3,52.76,,40.63,35.53
2001-08-09,10.13,14.2,52.35,,40.99,35.7
2001-08-10,10.21,14.37,53.65,,42.51,35.34
2001-08-13,10.4,14.3,54.02,,43.25,36.14
2001-08-14,10.3,14.53,53.86,,41.88,36.6
2001-08-15,11.1,14.45,55.23,,43.37,36.06
2001-08-16,11.57,14.45,54.15,,43.39,36.08
2001-08-17,11.5,14.38,53.75,,42.99,35.4
2001-08-20,12.0,14.38,52.75,,43.49,34.5
2001-08-21,12.3,14.38,52.41,,44.08,33.82
2001-08-22,12.28,14.38,53.3,,44.8,36.18
2001-08-23,11.75,14.65,51.8,,44.37,35.12
2001-08-24,12.12,14.5,52.24,,43.95,36.89
2001-08-27,11.88,14.61,52.46,,43.91,37.0
2001-08-28,11.5,14.63,52.14,,43.65,35.66
2001-08-29,11.59,14.5,51.17,,43.28,35.4
2001-08-30,11.53,14.5,50.0,,42.49,34.15
2001-08-31,11.75,14.5,50.0,,43.17,34.49
2001-09-04,11.3,14.5,50.38,,43.36,31.47
2001-09-05,11.39,14.55,50.3,,43.88,31.3
2001-09-06,11.4,14.61,51.13,,43.84,28.78
2001-09-07,11.13,14.57,48.86,,42.65,29.25
2001-09-10,10.74,14.7,48.1,,42.5,27.5
2001-09-17,9.96,14.5,44.69,,39.7,26.5
2001-09-18,9.85,14.15,45.71,,38.7,24.1
2001-09-19,9.8,13.7,44.4,,37.0,23.5
2001-09-20,8.72,13.55,41.7,,35.0,23.0
2001-09-21,8.55,13.55,44.05,,35.27,23.25
2001-09-24,8.92,13.0,46.12,,38.52,25.25
2001-09-25,8.97,12.75,46.38,,37.76,24.6
2001-09-26,8.95,12.75,44.07,,36.58,25.01
2001-09-27,8.9,12.88,43.8,,36.46,25.8
2001-09-28,9.05,12.88,44.8,,37.61,25.92
2001-10-01,8.61,13.0,43.98,,37.08,25.84
2001-10-02,8.85,13.0,45.4,,37.2,27.0
2001-10-03,9.52,13.0,47.42,,39.47,29.8
2001-10-04,9.68,13.0,47.43,,39.55,30.01
2001-10-05,9.91,13.0,48.25,,39.65,29.79
2001-10-08,9.68,13.0,46.64,,39.5,28.93
2001-10-09,10.01,12.95,46.9,,39.4,28.24
2001-10-10,10.25,13.15,47.31,,40.2,29.75
2001-10-11,10.05,13.1,49.3,,41.6,30.49
2001-10-12,10.04,13.1,48.55,,40.81,30.0
2001-10-15,10.03,13.05,48.2,,40.3,29.69
2001-10-16,10.85,13.05,48.03,,40.0,28.56
2001-10-17,10.55,13.1,46.92,,39.72,26.56
2001-10-18,10.51,13.22,46.39,,38.52,25.83
2001-10-19,10.5,13.22,45.76,,37.66,25.59
2001-10-22,10.6,13.35,46.57,,38.53,26.01
2001-10-23,10.6,13.43,46.18,,38.74,26.01
2001-10-24,10.6,13.43,45.45,,38.3,26.93
