Date-Time,CMG,DPZ,DRI,MCD,QSR,SBUX,TSCO,WEN,YUM
2000-04-28,,,18.5,38.06,,30.23,16.5,20.62,33.88
2000-05-01,,,18.25,38.88,,30.94,16.88,20.75,33.69
2000-05-02,,,18.0,39.19,,31.94,16.94,21.12,33.81
2000-05-03,,,17.19,37.31,,31.81,16.94,21.0,33.19
2000-05-04,,,17.25,35.75,,33.44,18.0,21.0,31.06
2000-05-05,,,18.13,35.69,,33.69,18.88,21.44,32.31
2000-05-08,,,17.69,35.81,,33.0,18.63,21.44,31.38
2000-05-09,,,18.0,37.0,,33.38,18.81,21.62,31.56
2000-05-10,,,18.06,38.63,,32.56,18.0,21.44,31.63
2000-05-11,,,18.63,38.19,,33.25,17.56,22.31,32.38
2000-05-12,,,18.56,37.56,,32.56,17.5,22.12,31.25
2000-05-15,,,18.44,38.19,,32.5,17.81,21.62,30.88
2000-05-16,,,19.13,39.19,,33.25,18.0,21.56,32.38
2000-05-17,,,18.69,39.06,,32.44,17.56,21.44,32.19
2000-05-18,,,18.69,38.63,,30.69,17.38,21.69,32.38
2000-05-19,,,18.31,37.81,,30.13,16.31,21.62,30.88
2000-05-22,,,18.31,38.88,,29.88,16.81,21.62,30.88
2000-05-23,,,18.75,39.13,,28.31,16.88,21.44,31.69
2000-05-24,,,19.19,38.75,,31.0,16.5,21.44,32.75
2000-05-25,,,18.56,37.31,,29.88,15.63,21.56,31.25
2000-05-26,,,18.88,37.75,,29.13,16.5,21.44,30.69
2000-05-30,,,18.38,36.56,,33.06,16.38,21.44,29.88
2000-05-31,,,17.5,36.13,,33.5,15.13,20.75,29.31
2000-06-01,,,17.0,35.63,,34.5,15.06,20.94,29.88
2000-06-02,,,16.94,36.13,,36.81,15.16,21.0,30.38
2000-06-05,,,16.75,35.5,,35.63,15.5,21.0,29.88
2000-06-06,,,16.75,35.13,,37.5,15.88,20.81,29.63
2000-06-07,,,16.81,34.88,,34.56,15.94,20.94,29.25
2000-06-08,,,16.81,35.44,,35.31,15.63,21.06,29.81
2000-06-09,,,16.56,33.88,,35.75,14.69,21.44,29.38
2000-06-12,,,16.56,32.63,,33.88,14.5,20.69,28.69
2000-06-13,,,16.56,32.38,,35.94,14.56,20.5,28.19
2000-06-14,,,16.44,31.75,,35.19,15.0,20.5,28.13
2000-06-15,,,16.81,32.13,,34.69,13.75,20.38,28.5
2000-06-16,,,16.94,31.31,,34.88,14.19,20.38,28.13
2000-06-19,,,16.31,31.5,,35.13,13.81,20.38,28.19
2000-06-20,,,15.81,31.5,,35.5,13.75,20.25,27.0
2000-06-21,,,15.69,31.31,,36.19,13.88,20.19,27.31
2000-06-22,,,18.0,31.44,,35.81,14.25,19.75,27.13
2000-06-23,,,16.63,32.63,,35.31,13.56,19.44,27.06
2000-06-26,,,16.44,33.44,,36.25,13.38,19.62,27.44
2000-06-27,,,16.56,32.69,,37.5,12.5,20.38,27.38
2000-06-28,,,15.82,32.21,,38.19,13.31,20.69,27.31
2000-06-29,,,16.19,31.25,,37.88,14.5,20.75,26.88
2000-06-30,,,16.25,32.94,,38.19,16.56,20.5,28.25
2000-07-03,,,16.44,32.5,,38.5,15.56,20.81,28.63
2000-07-05,,,16.38,31.81,,38.31,14.25,21.0,29.06
2000-07-06,,,16.94,32.19,,38.06,14.19,21.38,29.75
2000-07-07,,,17.44,32.5,,41.81,13.56,21.38,32.0
2000-07-10,,,17.13,32.25,,39.75,14.0,21.88,31.44
2000-07-11,,,17.69,32.56,,39.94,14.0,21.62,31.38
2000-07-12,,,17.63,32.0,,40.31,14.5,21.75,30.38
2000-07-13,,,17.31,31.5,,40.0,14.88,21.69,28.88
2000-07-14,,,17.25,31.38,,40.0,14.81,21.56,29.19
2000-07-17,,,17.38,31.31,,39.81,14.25,21.69,28.78
2000-07-18,,,17.0,31.31,,39.75,14.75,21.25,27.5
2000-07-19,,,17.0,31.38,,39.75,14.5,21.25,28.06
2000-07-20,,,17.13,31.69,,40.0,14.5,21.44,27.81
2000-07-21,,,17.06,30.88,,39.94,13.88,21.69,26.94
2000-07-24,,,17.0,30.25,,39.72,14.5,21.88,26.5
2000-07-25,,,16.94,31.31,,38.56,15.44,21.94,26.06
2000-07-26,,,18.31,31.69,,37.69,15.0,21.75,25.38
2000-07-27,,,17.88,32.19,,36.13,14.88,21.38,24.0
2000-07-28,,,17.25,32.0,,37.0,14.63,21.38,23.75
2000-07-31,,,16.31,31.69,,37.5,14.63,21.81,24.25
2000-08-01,,,16.81,32.63,,37.94,14.25,21.94,25.81
2000-08-02,,,16.69,33.44,,39.25,14.25,21.75,27.44
2000-08-03,,,16.63,33.25,,40.06,14.38,21.75,27.44
2000-08-04,,,17.5,33.38,,41.69,14.25,21.88,27.75
2000-08-07,,,17.31,33.69,,42.81,14.44,22.25,27.69
2000-08-08,,,17.13,33.5,,42.88,14.25,23.38,28.5
2000-08-09,,,16.88,32.69,,43.0,14.5,23.62,28.0
2000-08-10,,,16.81,32.81,,42.88,14.38,23.5,29.0
2000-08-11,,,16.81,33.44,,42.69,14.56,23.38,30.0
2000-08-14,,,16.94,33.31,,41.94,14.38,23.62,29.81
2000-08-15,,,16.75,32.44,,40.75,14.56,23.31,29.88
2000-08-16,,,17.0,32.38,,40.88,14.63,23.25,29.19
2000-08-17,,,17.06,31.25,,38.25,14.44,22.81,29.0
2000-08-18,,,17.06,31.56,,36.63,14.0,22.5,30.88
2000-08-21,,,17.44,31.56,,37.25,14.06,22.44,32.38
2000-08-22,,,17.44,31.31,,37.5,13.88,22.31,31.25
2000-08-23,,,16.81,31.19,,35.81,13.94,22.44,31.5
2000-08-24,,,17.38,30.38,,36.13,14.06,22.5,30.25
2000-08-25,,,18.06,30.38,,35.75,14.0,22.31,30.06
2000-08-28,,,17.56,30.38,,36.06,13.56,22.94,29.69
2000-08-29,,,17.56,30.44,,35.13,12.81,22.75,29.75
2000-08-30,,,17.5,30.38,,36.69,13.06,22.56,29.44
2000-08-31,,,17.71,29.89,,36.63,13.0,22.75,29.14
2000-09-01,,,17.94,29.56,,37.69,12.94,22.94,29.88
2000-09-05,,,17.69,29.69,,37.63,13.38,22.88,29.94
2000-09-06,,,17.88,30.13,,36.94,13.38,22.69,30.06
2000-09-07,,,17.38,29.5,,37.63,13.25,22.69,32.0
2000-09-08,,,17.31,28.75,,36.25,13.38,23.38,31.19
2000-09-11,,,17.31,28.38,,36.38,13.0,23.94,31.06
2000-09-12,,,17.25,29.0,,37.38,12.94,24.5,30.63
2000-09-13,,,17.5,27.19,,38.94,12.94,24.38,30.69
2000-09-14,,,17.13,27.25,,37.94,13.56,24.25,30.31
2000-09-15,,,17.88,28.0,,38.75,13.25,24.25,30.88
2000-09-18,,,17.25,28.5,,37.52,12.75,25.0,30.25
2000-09-19,,,17.31,27.88,,37.63,11.44,25.31,29.13
2000-09-20,,,18.56,27.69,,37.88,11.5,24.62,29.19
2000-09-21,,,20.13,27.0,,38.63,11.44,24.44,29.63
2000-09-22,,,20.31,28.69,,39.13,10.75,24.5,29.13
2000-09-25,,,20.38,29.44,,39.94,10.75,24.12,29.69
2000-09-26,,,20.56,29.88,,39.5,10.13,24.38,29.69
2000-09-27,,,20.5,29.88,,39.88,10.5,23.94,29.19
2000-09-28,,,21.0,29.88,,41.06,10.94,23.88,29.69
2000-09-29,,,20.81,30.19,,40.06,11.0,24.62,30.63
2000-10-02,,,21.0,30.06,,40.38,10.56,24.75,30.81
2000-10-03,,,20.94,30.25,,39.5,10.75,24.56,29.56
2000-10-04,,,21.06,30.0,,40.75,10.63,24.0,30.0
2000-10-05,,,21.56,30.13,,41.0,10.5,24.19,31.13
2000-10-06,,,21.25,29.88,,40.19,10.31,24.06,29.94
2000-10-09,,,21.06,30.06,,40.5,10.63,24.38,30.5
2000-10-10,,,21.25,29.94,,40.56,10.31,24.12,30.13
2000-10-11,,,21.38,30.0,,40.06,10.13,23.94,29.81
2000-10-12,,,20.5,28.38,,38.31,10.13,23.81,26.69
2000-10-13,,,20.94,28.88,,39.25,10.13,23.25,27.56
2000-10-16,,,21.69,29.0,,40.56,9.813,23.94,27.94
2000-10-17,,,20.94,28.0,,39.75,8.875,23.94,27.5
2000-10-18,,,21.13,28.06,,40.31,8.813,24.0,28.31
2000-10-19,,,20.81,27.88,,41.0,9.188,23.69,28.0
2000-10-20,,,21.5,28.25,,40.31,9.125,23.75,27.69
2000-10-23,,,22.38,29.13,,40.0,9.375,23.88,27.31
2000-10-24,,,22.19,29.13,,40.38,8.938,23.62,27.06
2000-10-25,,,21.63,29.0,,40.69,9.0,23.75,26.81
2000-10-26,,,21.0,28.94,,41.0,9.25,24.62,26.56
2000-10-27,,,22.44,29.75,,39.75,9.0,24.56,26.5
2000-10-30,,,22.38,31.19,,41.63,8.875,24.88,28.88
2000-10-31,,,22.5,31.0,,44.69,9.063,24.94,30.0
2000-11-01,,,22.5,31.63,,44.56,9.0,24.94,30.31
2000-11-02,,,22.38,31.94,,45.0,8.438,24.69,30.06
2000-11-03,,,23.94,32.38,,46.81,8.688,24.56,30.0
2000-11-06,,,23.5,32.0,,46.75,8.688,24.5,30.56
2000-11-07,,,23.0,31.75,,47.06,8.938,24.88,30.5
2000-11-08,,,22.81,31.63,,44.81,8.938,24.81,30.25
2000-11-09,,,22.75,31.75,,44.81,8.875,24.81,30.38
2000-11-10,,,23.0,33.06,,44.5,9.125,25.06,29.94
2000-11-13,,,23.69,33.06,,44.38,8.5,25.19,30.19
2000-11-14,,,23.5,33.44,,47.06,8.313,25.12,30.75
2000-11-15,,,23.75,33.31,,47.56,8.938,25.88,33.06
2000-11-16,,,23.94,32.69,,46.25,8.063,25.62,33.81
2000-11-17,,,24.56,33.44,,47.94,8.125,25.94,35.0
2000-11-20,,,25.31,33.5,,49.88,8.0,25.62,35.56
2000-11-21,,,25.75,33.94,,47.44,7.094,25.56,35.5
2000-11-22,,,26.0,34.25,,48.69,7.313,25.19,35.63
2000-11-24,,,25.88,33.69,,48.0,7.938,25.44,35.56
2000-11-27,,,26.06,31.94,,45.06,7.813,25.31,35.56
2000-11-28,,,26.0,31.25,,44.53,7.625,25.38,36.69
2000-11-29,,,26.06,32.5,,45.48,7.625,25.44,37.38
2000-11-30,,,26.38,31.88,,45.56,7.438,25.12,36.0
2000-12-01,,,26.56,30.94,,44.25,7.375,25.25,34.25
2000-12-04,,,26.63,31.44,,44.88,7.5,25.31,34.63
2000-12-05,,,26.0,30.5,,46.25,7.375,25.5,34.19
2000-12-06,,,25.69,29.63,,46.0,7.563,25.44,34.0
2000-12-07,,,25.69,30.25,,46.81,7.813,25.5,34.69
2000-12-08,,,25.44,29.5,,46.88,7.813,25.5,34.69
2000-12-11,,,24.88,29.94,,44.06,7.875,25.44,35.06
2000-12-12,,,25.0,30.88,,44.94,7.906,25.5,35.69
2000-12-13,,,25.06,31.13,,44.06,7.875,25.56,34.56
2000-12-14,,,25.0,31.56,,43.56,8.125,25.44,33.69
2000-12-15,,,24.75,31.5,,41.88,8.25,25.19,33.44
2000-12-18,,,25.63,32.31,,43.56,7.656,25.19,35.06
2000-12-19,,,24.63,32.88,,45.13,7.625,25.06,35.38
2000-12-20,,,23.19,31.38,,44.0,7.625,24.75,33.94
2000-12-21,,,23.5,32.69,,44.94,7.875,24.75,32.19
2000-12-22,,,22.38,32.69,,45.25,8.063,24.75,31.94
2000-12-26,,,21.12,32.5,,45.0,7.78,24.75,31.69
2000-12-27,,,22.5,33.13,,44.25,7.781,24.5,32.31
2000-12-28,,,23.0,33.88,,44.38,8.438,24.81,33.44
2000-12-29,,,22.88,34.0,,44.25,8.5,24.25,33.0
2001-01-02,,,22.63,33.5,,42.06,8.563,24.31,31.94
2001-01-03,,,22.81,33.69,,43.25,9.0,24.56,33.75
2001-01-04,,,22.63,33.0,,41.13,9.688,24.56,33.81
2001-01-05,,,22.5,32.94,,41.75,9.0,23.81,32.75
2001-01-08,,,22.44,33.0,,42.44,8.688,23.81,32.56
2001-01-09,,,22.06,33.06,,41.75,9.375,23.75,32.38
2001-01-10,,,21.13,33.19,,44.0,9.5,24.25,32.69
2001-01-11,,,20.63,32.69,,44.31,10.63,25.25,31.94
2001-01-12,,,20.25,33.63,,44.75,11.88,25.31,32.69
2001-01-16,,,20.5,34.13,,44.81,12.5,25.31,33.81
2001-01-17,,,20.38,34.69,,44.81,13.0,25.19,35.13
2001-01-18,,,20.31,33.63,,45.44,12.88,25.25,35.13
2001-01-19,,,20.38,32.81,,46.31,12.88,25.0,34.0
2001-01-22,,,20.5,33.5,,45.25,13.19,25.06,34.13
2001-01-23,,,20.94,32.88,,46.38,13.19,25.25,34.75
2001-01-24,,,20.88,30.81,,43.38,13.5,25.25,33.75
2001-01-25,,,21.13,29.56,,42.81,14.19,25.06,33.56
2001-01-26,,,20.75,29.0,,45.63,14.5,25.19,34.56
2001-01-29,,,20.99,29.52,,49.25,14.63,25.08,35.09
2001-01-30,,,21.35,29.45,,48.75,14.5,25.0,35.96
2001-01-31,,,21.61,29.35,,49.94,14.75,25.06,36.02
2001-02-01,,,21.02,29.03,,49.06,14.81,25.08,35.94
2001-02-02,,,19.99,29.43,,47.88,14.5,24.9,35.25
2001-02-05,,,19.7,29.36,,47.94,14.13,25.0,34.71
2001-02-06,,,20.88,30.03,,49.88,14.19,25.15,35.87
2001-02-07,,,22.4,29.27,,49.88,14.06,25.17,35.91
2001-02-08,,,21.56,29.34,,48.63,14.06,25.0,35.72
2001-02-09,,,22.12,29.76,,48.31,14.06,24.88,35.02
2001-02-12,,,22.31,29.83,,50.0,14.13,25.15,35.08
2001-02-13,,,21.88,30.0,,48.63,14.06,25.55,36.02
2001-02-14,,,21.75,29.25,,47.88,14.13,25.6,34.96
2001-02-15,,,22.03,30.08,,49.25,14.0,25.65,35.3
2001-02-16,,,22.03,30.22,,48.94,14.0,25.78,37.0
2001-02-20,,,21.83,30.44,,48.31,14.13,25.6,38.32
2001-02-21,,,21.25,29.68,,47.88,13.94,26.15,37.04
2001-02-22,,,20.82,30.06,,47.38,14.25,25.97,37.11
2001-02-23,,,21.0,30.12,,47.69,14.0,25.98,36.87
2001-02-26,,,21.03,29.88,,47.81,14.44,26.03,37.22
2001-02-27,,,21.21,30.05,,48.25,14.44,26.06,38.2
2001-02-28,,,21.73,29.4,,47.63,14.44,26.52,38.5
2001-03-01,,,21.72,29.21,,47.56,14.63,26.45,39.01
2001-03-02,,,21.78,28.85,,47.5,14.75,26.5,38.48
2001-03-05,,,21.22,28.56,,46.69,14.88,26.42,38.23
2001-03-06,,,21.23,28.85,,46.75,14.63,26.46,37.6
2001-03-07,,,23.0,28.4,,46.19,14.5,26.53,38.04
2001-03-08,,,23.4,29.3,,47.56,14.5,26.51,39.75
2001-03-09,,,23.31,28.95,,47.13,14.31,26.55,39.93
2001-03-12,,,23.49,28.06,,44.94,14.13,26.5,38.81
2001-03-13,,,23.13,27.8,,44.75,14.31,26.47,37.69
2001-03-14,,,22.89,27.55,,43.25,14.06,26.43,36.7
2001-03-15,,,23.15,27.24,,43.69,14.0,26.0,36.25
2001-03-16,,,23.3,26.5,,43.81,14.06,24.2,35.96
2001-03-19,,,23.76,26.38,,44.31,14.06,24.41,37.03
2001-03-20,,,23.17,25.77,,43.25,14.0,24.6,36.96
2001-03-21,,,23.02,25.65,,40.94,13.7501,24.4,37.15
2001-03-22,,,23.05,25.11,,40.06,13.63,24.2,36.02
2001-03-23,,,23.29,25.0,,40.88,13.69,24.4,35.4
2001-03-26,,,23.84,25.3,,41.63,13.88,24.15,35.45
2001-03-27,,,24.2,25.33,,40.69,13.69,24.5,35.1
2001-03-28,,,23.97,25.28,,41.19,14.19,24.37,36.33
2001-03-29,,,23.97,26.49,,41.94,14.0,23.5,37.57
2001-03-30,,,23.75,26.55,,42.44,14.0,24.6,38.19
2001-04-02,,,24.0,26.64,,43.0,14.06,24.61,38.24
2001-04-03,,,23.43,25.79,,41.75,13.94,24.48,37.19
2001-04-04,,,23.7,26.09,,40.94,14.13,24.0,37.8
2001-04-05,,,24.1,26.0,,40.94,13.94,24.38,38.06
2001-04-06,,,23.88,26.25,,37.25,13.94,24.36,37.12
2001-04-09,,,25.24,26.69,,38.63,14.0,24.31,37.85
2001-04-10,,,25.41,27.0,,40.0,13.93,24.92,37.75
2001-04-11,,,25.02,26.73,,40.25,14.09,24.8,37.17
2001-04-12,,,24.96,26.89,,37.98,13.99,25.5,37.46
2001-04-16,,,25.52,27.22,,38.57,13.95,25.25,38.03
2001-04-17,,,26.3,27.17,,38.98,13.92,25.25,37.96
2001-04-18,,,26.38,27.49,,41.51,14.1,25.2,39.04
2001-04-19,,,26.04,27.47,,41.28,14.09,25.15,40.0
2001-04-20,,,26.18,27.09,,40.23,14.08,25.13,40.0
2001-04-23,,,26.38,26.96,,39.0,14.0,25.04,41.0
2001-04-24,,,26.1,26.84,,37.71,13.9,25.5,41.8
2001-04-25,,,26.92,27.0,,39.73,14.0,25.9,42.88
2001-04-26,,,26.75,27.02,,39.68,14.3,25.92,43.52
2001-04-27,,,27.1,27.11,,37.16,15.05,26.06,43.7
2001-04-30,,,27.31,27.5,,19.35,15.2,25.6,44.82
2001-05-01,,,27.1,27.78,,20.02,16.0,25.64,44.75
2001-05-02,,,26.6,27.55,,19.71,16.41,25.58,42.25
2001-05-03,,,26.04,26.9,,18.95,15.88,25.5,41.04
2001-05-04,,,27.34,26.82,,18.99,16.1,25.31,41.96
2001-05-07,,,27.77,26.77,,18.87,16.19,25.26,41.67
2001-05-08,,,28.12,26.55,,18.59,16.1,25.23,41.45
2001-05-09,,,28.95,27.2,,18.7,16.05,25.58,41.28
2001-05-10,,,28.14,26.91,,18.61,15.4,25.6,41.43
2001-05-11,,,27.78,27.74,,18.91,15.99,25.95,42.08
2001-05-14,,,27.41,27.75,,19.32,16.1,25.95,42.22
2001-05-15,,,28.14,27.5,,19.54,15.76,25.8,42.45
2001-05-16,,,28.42,27.7,,20.02,15.9,25.8,42.13
2001-05-17,,,28.94,28.5,,20.73,16.25,25.32,41.99
2001-05-18,,,28.75,29.8,,20.7,16.01,25.35,42.95
2001-05-21,,,29.0,29.86,,21.1,15.78,25.3,42.86
2001-05-22,,,29.26,30.5,,21.2,15.55,25.15,43.45
2001-05-23,,,28.7,30.24,,20.09,15.56,25.21,43.3
2001-05-24,,,28.57,30.76,,20.38,15.49,25.5,44.65
2001-05-25,,,28.9,30.51,,20.39,15.57,25.6,45.0
2001-05-29,,,28.5,30.75,,19.87,15.44,25.5,45.55
2001-05-30,,,28.71,30.69,,20.09,15.34,25.6,46.3
2001-05-31,,,27.9,30.28,,19.52,15.54,25.25,45.7
2001-06-01,,,27.5,29.71,,19.59,15.85,25.3,46.3
2001-06-04,,,27.58,29.23,,19.19,15.81,25.24,46.06
2001-06-05,,,27.5,29.41,,19.7,15.69,25.15,45.6
2001-06-06,,,26.41,29.7,,19.22,15.58,25.0,44.46
2001-06-07,,,25.63,29.89,,19.4,16.0,25.07,45.26
2001-06-08,,,25.45,29.45,,19.04,16.05,25.01,45.78
2001-06-11,,,25.61,29.91,,19.22,16.02,25.04,46.26
2001-06-12,,,25.59,29.81,,19.41,15.96,25.18,47.64
2001-06-13,,,25.65,30.0,,19.56,15.94,25.22,47.79
2001-06-14,,,25.08,29.96,,19.19,15.98,25.22,46.94
