Date-Time,ADM,CAG,COKE,GIS,HRL,HSY,PEP,PPC,TSN,VMI
2000-01-05,11.69,22.06,51.0,34.0,40.38,45.06,35.44,7.56,16.06,16.12
2000-01-06,11.75,22.69,50.06,33.56,41.0,46.0,36.63,8.0,16.19,16.19
2000-01-07,11.94,23.19,50.0,33.63,41.38,46.13,37.63,8.2,16.94,16.12
2000-01-10,11.94,23.0,50.88,32.94,41.19,46.25,36.88,7.56,16.75,16.5
2000-01-11,11.75,23.75,50.38,33.38,41.25,45.31,36.75,7.6,16.88,17.0
2000-01-12,12.06,23.81,50.0,33.31,40.19,45.0,36.31,7.6,16.56,16.88
2000-01-13,12.0,23.13,52.0,33.44,40.63,44.69,35.94,8.2,17.19,17.25
2000-01-14,12.5,22.38,50.5,32.69,40.5,42.56,36.19,8.36,16.31,17.25
2000-01-18,13.06,22.44,50.0,33.0,40.69,43.0,36.25,8.28,16.0,17.38
2000-01-19,13.38,22.75,49.63,32.69,39.5,43.13,36.44,8.2,15.75,17.38
2000-01-20,13.06,23.06,50.13,32.13,39.63,42.19,36.13,8.2,15.63,17.56
2000-01-21,13.0,23.13,49.0,31.5,39.44,41.25,36.13,8.24,15.44,17.88
2000-01-24,12.38,22.5,47.28,31.19,38.75,40.13,35.31,8.24,14.81,17.78
2000-01-25,12.25,21.94,47.56,30.19,38.5,39.81,34.31,7.48,14.25,18.12
2000-01-26,12.19,21.25,49.0,31.0,39.38,40.19,33.94,7.48,14.0,19.5
2000-01-27,12.0,21.06,49.38,30.38,38.75,39.44,33.81,7.44,14.19,19.5
2000-01-28,11.81,20.69,50.06,30.25,38.38,37.75,33.25,7.36,14.25,19.62
2000-01-31,11.75,21.44,50.75,31.19,40.63,42.5,34.13,7.36,13.69,19.38
2000-02-01,12.0,21.06,47.0,30.25,38.81,40.56,34.0,7.2,13.88,18.94
2000-02-02,11.75,20.25,48.63,30.13,38.13,40.75,33.0,7.36,13.56,19.0
2000-02-03,11.75,20.56,48.25,30.63,37.88,41.38,33.06,8.0,13.25,19.12
2000-02-04,11.75,21.0,47.5,30.38,37.88,41.5,32.75,8.0,13.0,19.06
2000-02-07,11.75,20.5,47.0,30.56,37.13,41.0,32.38,8.12,12.88,19.12
2000-02-08,11.69,20.56,47.44,30.81,38.0,42.19,33.31,8.24,12.81,18.91
2000-02-09,11.25,19.88,48.66,30.5,38.38,41.75,34.0,8.12,12.5,19.19
2000-02-10,10.94,19.06,49.13,30.06,37.44,42.0,34.63,8.16,11.94,18.62
2000-02-11,10.94,18.88,49.0,30.44,35.88,42.75,34.38,8.08,11.25,18.12
2000-02-14,11.13,18.56,49.5,31.0,35.56,42.44,34.06,7.48,11.0,18.25
2000-02-15,11.19,18.56,49.5,32.44,35.69,43.81,34.19,7.48,10.81,17.5
2000-02-16,11.38,18.25,49.25,32.06,18.0,44.19,34.0,7.52,10.75,17.44
2000-02-17,11.44,17.88,49.5,32.38,18.19,44.56,34.31,8.08,10.75,17.5
2000-02-18,11.44,17.88,49.56,32.06,18.0,45.13,34.25,8.0,10.69,17.5
2000-02-22,11.44,17.88,49.75,33.44,17.94,46.69,34.69,7.48,10.63,17.5
2000-02-23,11.06,16.88,50.0,33.44,17.69,46.13,34.19,7.56,9.938,17.31
2000-02-24,11.0,16.38,50.13,33.13,17.5,44.75,34.0,8.04,9.938,15.62
2000-02-25,10.69,16.13,50.28,33.0,17.38,45.13,32.75,8.0,10.94,15.12
2000-02-28,10.56,16.44,50.13,32.94,16.94,44.13,33.25,7.36,10.88,15.5
2000-02-29,10.06,16.38,50.47,32.94,16.69,43.94,32.13,8.0,10.31,15.12
2000-03-01,10.31,16.75,50.41,33.19,16.94,44.81,32.56,7.28,10.56,15.81
2000-03-02,9.938,16.13,50.63,32.19,16.31,43.69,31.56,7.32,10.44,15.84
2000-03-03,10.38,16.25,51.0,32.38,15.19,43.13,31.63,7.24,10.44,16.0
2000-03-06,9.875,16.0,50.5,31.75,15.44,42.19,31.0,7.16,10.06,15.31
2000-03-07,9.563,15.5,50.94,31.0,14.5,40.0,30.63,7.2,9.875,15.25
2000-03-08,9.625,15.81,53.0,31.38,15.13,41.81,30.5,7.12,10.0,14.69
2000-03-09,9.5,15.81,50.63,31.56,15.06,41.13,31.38,6.6,10.13,15.31
2000-03-10,9.625,15.63,51.13,31.38,14.63,40.0,30.75,6.44,9.375,15.0
2000-03-13,9.5,15.5,51.03,31.0,14.31,40.0,31.13,6.32,9.375,15.0
2000-03-14,9.063,15.63,51.69,30.63,14.13,40.94,30.69,6.4,9.313,14.69
2000-03-15,9.25,15.63,52.0,32.75,15.25,43.75,33.19,6.56,9.0,16.06
2000-03-16,10.25,17.06,52.0,35.19,17.06,47.69,34.06,7.44,10.13,16.75
2000-03-17,10.56,17.0,51.75,34.5,15.0,46.13,33.0,7.12,9.75,16.5
2000-03-20,10.25,17.5,51.44,34.81,15.75,47.0,33.25,7.08,10.06,15.81
2000-03-21,10.25,17.69,51.44,34.75,15.38,46.94,34.31,7.16,10.44,17.12
2000-03-22,10.5,17.75,52.13,34.69,14.5,45.06,33.5,6.6,10.5,16.55
2000-03-23,10.56,17.25,52.75,34.94,15.0,45.31,33.5,6.28,10.88,17.31
2000-03-24,10.25,16.44,51.56,34.25,14.62,44.0,32.94,6.32,10.63,17.31
2000-03-27,10.25,16.0,51.44,34.13,14.5,43.19,32.36,6.32,10.13,16.5
2000-03-28,10.0,15.75,51.75,34.31,14.19,42.0,32.5,6.16,10.25,15.98
2000-03-29,10.06,16.63,51.63,34.81,14.44,46.81,33.25,6.2,10.13,15.75
2000-03-30,10.38,18.25,52.13,35.88,15.0,49.0,35.94,6.52,10.69,16.0
2000-03-31,10.31,18.13,52.94,36.19,16.44,48.75,34.88,6.2,11.13,17.25
2000-04-03,10.5,18.63,51.25,35.81,14.63,47.0,36.13,7.16,10.25,16.38
2000-04-04,10.56,18.94,52.0,37.0,15.75,48.69,36.44,7.4,10.75,16.34
2000-04-05,10.63,19.06,51.94,36.5,15.94,48.0,36.75,7.56,11.13,17.06
2000-04-06,10.75,18.81,51.88,36.06,15.75,47.56,36.81,7.44,10.38,17.88
2000-04-07,10.5,18.75,50.25,35.38,15.5,46.19,36.0,7.56,10.13,17.75
2000-04-10,11.13,18.44,50.5,35.06,15.63,46.44,36.25,7.44,10.19,17.94
2000-04-11,11.0,19.38,50.13,35.63,15.75,47.94,37.06,7.24,10.38,17.0
2000-04-12,10.88,19.88,50.0,36.5,16.06,49.13,37.25,7.12,10.06,17.56
2000-04-13,11.06,20.0,49.06,37.06,16.31,48.31,36.44,7.0,10.81,18.81
2000-04-14,10.38,19.19,48.88,36.19,15.88,47.06,36.44,6.52,10.13,18.97
2000-04-17,10.56,19.38,50.25,36.69,16.44,46.81,36.63,7.12,10.44,19.5
2000-04-18,10.06,19.44,49.0,36.13,16.06,46.56,35.94,7.12,10.38,19.25
2000-04-19,10.0,19.0,50.0,36.06,16.0,47.56,35.31,7.24,10.31,19.25
2000-04-20,9.75,18.94,50.13,36.19,15.81,47.69,37.19,7.28,10.44,19.12
2000-04-24,9.938,19.81,51.44,36.81,15.63,49.13,37.88,7.24,10.44,19.31
2000-04-25,9.813,19.88,51.5,38.0,16.25,49.13,37.44,7.16,11.0,19.81
2000-04-26,9.875,19.81,51.25,37.75,15.81,47.63,37.75,7.2,11.0,19.5
2000-04-27,9.938,19.44,51.0,37.13,15.63,47.06,37.44,7.24,11.0,19.56
2000-04-28,9.938,18.88,51.0,36.38,15.25,45.5,36.69,7.28,10.44,19.88
2000-05-01,10.25,19.69,50.0,36.44,15.38,45.31,37.0,7.36,10.44,19.88
2000-05-02,10.31,19.44,50.0,36.25,15.0,45.88,37.5,7.24,10.38,19.69
2000-05-03,10.19,20.44,50.36,37.88,15.19,47.06,37.56,7.28,10.25,19.56
2000-05-04,9.938,20.75,50.0,38.06,15.5,47.25,36.69,7.4,10.75,19.38
2000-05-05,10.06,20.56,50.0,38.06,15.25,46.38,37.5,7.4,10.38,19.69
2000-05-08,10.19,20.94,49.94,38.19,15.38,48.25,37.94,7.28,10.19,19.75
2000-05-09,10.13,21.69,50.25,38.25,15.38,48.69,37.69,7.28,10.19,19.94
2000-05-10,10.31,21.44,46.5,38.25,15.38,50.0,39.19,7.2,10.38,19.0
2000-05-11,10.5,21.38,50.0,38.44,17.0,50.0,40.0,7.24,10.63,19.62
2000-05-12,10.44,21.69,49.25,38.44,16.56,49.38,39.5,7.24,10.5,19.62
2000-05-15,10.5,21.44,46.69,38.5,16.81,51.56,39.38,7.48,10.19,18.75
2000-05-16,10.44,21.75,50.0,38.69,16.69,51.38,39.13,7.56,10.5,19.38
2000-05-17,10.63,21.38,50.0,39.06,16.38,50.25,39.0,7.56,10.44,19.38
2000-05-18,10.63,21.31,48.5,38.88,16.81,50.69,39.52,8.0,10.44,19.38
2000-05-19,10.5,21.38,49.5,39.81,16.88,49.81,39.25,8.04,10.06,19.62
2000-05-22,11.13,22.19,49.5,39.63,16.63,50.94,39.75,8.04,10.13,19.44
2000-05-23,10.88,22.44,49.0,39.63,16.56,51.88,39.44,7.56,10.06,19.62
2000-05-24,11.75,22.81,49.5,40.06,17.63,53.06,40.75,8.04,9.875,19.62
2000-05-25,12.0,22.81,49.13,39.81,17.25,53.25,39.94,8.16,10.06,19.44
2000-05-26,11.94,22.94,49.13,41.0,18.13,55.0,41.0,8.16,9.875,20.0
2000-05-30,12.13,23.44,49.5,40.63,17.94,53.81,41.0,8.2,10.06,19.56
2000-05-31,11.94,22.81,48.75,39.5,17.38,52.5,40.88,8.0,10.0,19.69
2000-06-01,12.25,23.13,47.88,39.63,17.44,51.38,40.06,8.12,10.13,19.69
2000-06-02,12.0,22.0,48.5,39.56,17.19,50.06,40.31,8.08,10.19,19.5
2000-06-05,11.88,21.94,47.81,38.75,17.44,49.19,39.5,7.6,10.38,19.38
2000-06-06,11.44,21.38,46.75,39.75,17.75,50.81,41.0,7.52,10.19,19.44
2000-06-07,11.94,21.81,46.25,40.0,18.38,52.13,41.31,7.52,10.13,19.19
2000-06-08,11.94,21.69,48.0,39.44,17.81,52.38,42.44,7.56,10.0,19.75
2000-06-09,11.5,21.5,48.38,38.94,17.44,51.81,41.25,8.08,10.0,19.44
2000-06-12,11.13,21.63,48.38,39.63,18.56,51.56,41.96,8.0,9.813,19.44
2000-06-13,11.0,21.56,48.75,40.0,18.19,52.56,42.81,7.32,9.75,19.44
2000-06-14,10.69,21.69,48.38,40.25,18.5,53.25,43.5,7.36,9.625,19.0
2000-06-15,10.56,21.56,47.0,40.0,19.69,53.31,43.38,7.28,9.875,19.0
2000-06-16,10.44,21.19,46.63,38.69,18.81,51.69,43.75,7.4,9.813,19.12
2000-06-19,10.13,21.0,45.81,38.63,18.56,52.06,43.69,7.48,9.625,18.81
2000-06-20,10.06,20.31,45.5,38.19,18.31,50.56,41.13,7.32,9.563,18.88
2000-06-21,10.0,19.88,45.38,37.81,18.38,49.63,42.25,7.16,9.063,19.56
2000-06-22,9.875,19.88,44.5,37.94,18.25,48.81,41.94,6.56,8.938,19.25
2000-06-23,9.875,18.5,45.16,37.88,18.31,49.69,42.06,6.36,8.875,19.12
2000-06-26,10.19,19.75,45.63,38.31,18.19,50.0,43.56,6.44,8.938,19.38
2000-06-27,10.06,19.88,44.5,38.63,17.81,50.88,43.44,6.48,8.563,19.66
2000-06-28,10.01,19.83,45.63,38.66,17.75,50.23,43.41,7.0,8.938,19.67
2000-06-29,10.0,19.63,46.0,38.63,17.69,48.69,42.75,7.28,9.063,19.62
2000-06-30,9.813,19.06,45.5,38.25,16.83,48.5,44.44,7.09,8.75,19.88
2000-07-03,10.0,19.5,47.06,38.19,17.38,48.13,43.0,7.12,8.875,19.94
2000-07-05,10.0,20.31,44.75,38.69,17.19,48.19,43.38,7.0,8.875,20.06
2000-07-06,9.875,21.38,46.31,38.25,16.75,45.88,43.88,7.12,9.0,20.06
2000-07-07,10.44,21.25,45.38,37.94,16.69,46.31,42.44,7.0,8.875,20.25
2000-07-10,10.31,21.06,46.0,37.0,16.31,45.31,40.94,7.08,8.875,20.25
2000-07-11,10.75,21.25,46.5,36.81,15.94,45.38,40.63,7.12,8.938,20.25
2000-07-12,10.69,20.94,42.94,36.75,16.75,44.5,39.75,7.12,8.938,20.38
2000-07-13,10.31,21.13,42.75,37.0,16.75,45.06,40.38,7.2,9.188,20.88
2000-07-14,10.44,21.0,43.38,36.31,17.0,44.75,41.69,7.36,9.125,21.19
2000-07-17,10.0,20.81,43.38,35.0,16.63,43.81,42.88,7.08,9.063,21.38
2000-07-18,9.938,21.25,42.0,34.88,16.5,44.75,43.0,7.08,9.25,21.5
2000-07-19,9.938,21.25,43.0,35.0,16.69,45.19,43.38,7.32,9.375,20.62
2000-07-20,9.875,21.5,44.0,35.25,16.5,44.5,43.75,7.52,9.75,20.75
2000-07-21,9.625,21.38,43.06,35.31,16.25,43.13,44.25,7.4,9.438,21.0
2000-07-24,9.688,21.25,39.0,34.88,16.31,43.19,43.63,7.24,9.375,20.56
2000-07-25,9.75,21.25,39.25,35.0,16.25,44.19,44.13,7.24,9.375,20.62
2000-07-26,9.563,20.94,42.0,34.65,16.31,46.5,43.81,7.16,9.438,20.62
2000-07-27,9.688,20.88,40.5,34.75,16.25,45.75,44.31,7.2,9.563,20.5
2000-07-28,9.563,20.63,40.94,34.81,16.44,46.56,44.75,7.0,9.5,20.5
2000-07-31,9.375,20.44,44.0,34.38,16.19,46.25,45.81,7.16,9.375,20.31
2000-08-01,9.813,21.13,44.0,34.63,16.75,46.25,45.88,7.36,9.0,19.5
2000-08-02,10.0,21.56,41.25,34.88,16.88,46.25,45.63,7.36,8.938,19.44
2000-08-03,9.938,21.69,40.25,35.19,16.63,46.38,45.13,7.24,9.438,19.38
2000-08-04,9.938,21.06,39.25,34.75,16.38,46.88,45.06,7.32,9.375,19.69
2000-08-07,9.813,20.69,39.75,34.75,16.19,46.75,44.63,7.28,9.563,19.0
2000-08-08,9.813,20.44,40.63,34.56,16.19,46.44,44.44,6.6,9.188,20.0
2000-08-09,9.5,20.25,39.81,34.25,16.13,46.13,44.0,7.0,9.5,19.94
2000-08-10,9.563,19.94,39.92,34.81,16.13,47.0,45.06,6.6,9.563,19.25
2000-08-11,9.5,20.06,40.13,34.81,16.81,46.69,45.81,7.0,9.438,20.0
2000-08-14,9.375,19.75,40.13,34.75,16.75,46.31,47.0,7.04,9.375,19.31
2000-08-15,9.5,19.38,40.0,34.5,16.38,46.19,45.94,6.6,9.375,18.12
2000-08-16,9.563,19.56,41.25,34.0,16.13,45.88,43.69,6.6,9.5,18.88
2000-08-17,9.375,19.94,41.5,33.44,16.0,45.44,43.48,6.56,9.563,19.11
2000-08-18,9.438,19.95,41.38,33.19,16.19,44.5,43.88,6.56,9.625,18.44
2000-08-21,9.625,20.06,40.63,32.94,16.06,45.0,44.31,6.56,9.438,18.31
2000-08-22,9.5,19.88,41.38,32.5,15.38,44.56,43.25,6.56,9.438,18.38
2000-08-23,9.5,19.69,40.0,33.19,15.19,44.88,43.34,7.0,9.5,18.31
2000-08-24,9.063,19.88,40.13,32.81,15.44,44.44,43.5,7.08,9.563,18.5
2000-08-25,8.938,19.0,40.13,32.31,15.25,43.75,42.75,7.08,9.5,18.62
2000-08-28,8.75,18.75,40.0,32.75,15.81,44.13,43.31,7.08,9.375,18.44
2000-08-29,8.75,18.69,40.44,32.25,15.81,44.0,42.5,7.12,9.313,19.12
2000-08-30,8.563,18.19,40.06,32.06,15.44,43.13,41.94,7.08,9.125,19.06
2000-08-31,8.832,18.31,40.06,32.14,15.44,42.69,42.64,6.52,9.188,18.94
2000-09-01,8.75,18.25,40.81,31.88,15.5,42.44,42.31,6.48,9.313,19.94
2000-09-05,8.75,18.69,40.38,31.69,15.31,42.13,42.75,6.36,9.188,20.75
2000-09-06,8.75,18.69,40.13,31.88,15.69,44.44,41.94,7.24,9.25,19.73
2000-09-07,8.813,18.81,40.88,32.0,16.25,44.75,43.19,7.0,9.438,20.12
2000-09-08,8.75,18.81,40.38,32.19,15.81,44.81,42.56,7.04,9.438,20.56
2000-09-11,8.75,18.69,42.0,31.75,15.44,44.19,42.75,6.52,9.375,20.62
2000-09-12,8.813,18.69,41.19,32.5,15.75,45.13,43.88,6.4,9.313,20.69
2000-09-13,8.875,18.75,40.63,32.81,15.63,45.25,44.69,7.0,9.313,20.56
2000-09-14,8.813,18.81,40.44,32.44,15.56,45.63,44.13,7.16,9.438,20.62
2000-09-15,8.938,18.88,40.94,32.81,15.94,46.81,43.75,7.08,9.375,20.45
2000-09-18,8.813,18.75,41.25,32.56,15.44,48.13,44.0,7.0,9.25,20.5
2000-09-19,8.75,18.94,40.5,32.63,15.56,48.56,43.88,7.0,9.5,20.5
2000-09-20,8.438,18.75,40.13,32.94,15.5,49.13,41.63,7.04,9.688,20.44
2000-09-21,8.5,18.75,40.0,33.56,15.81,49.75,43.38,7.2,9.75,19.69
2000-09-22,8.5,19.13,40.06,34.44,16.06,50.94,45.38,7.12,9.5,19.81
2000-09-25,8.313,18.75,39.75,34.0,15.69,49.44,44.81,7.04,9.438,19.81
2000-09-26,8.438,19.5,39.81,34.81,15.81,50.13,44.44,7.04,9.688,19.75
2000-09-27,8.625,19.5,40.0,35.5,15.94,52.19,45.5,7.0,9.625,19.94
2000-09-28,8.375,19.81,40.81,35.81,16.06,53.5,45.25,7.04,9.563,20.0
2000-09-29,8.625,20.06,41.94,35.5,16.69,54.13,46.0,6.56,10.0,19.88
2000-10-02,9.125,20.44,40.75,35.63,16.19,52.5,47.38,6.48,9.75,20.0
2000-10-03,9.125,20.38,41.13,35.75,16.06,50.88,46.0,6.36,10.06,20.0
2000-10-04,8.938,20.0,40.88,36.38,15.94,51.63,45.13,6.36,10.06,19.69
2000-10-05,9.188,20.25,40.56,37.0,16.44,52.38,45.81,6.24,10.5,19.56
2000-10-06,9.375,20.25,39.5,37.44,16.69,52.75,46.38,6.24,10.94,19.12
2000-10-09,9.438,20.31,38.81,37.13,16.81,53.63,47.06,6.32,11.0,18.88
2000-10-10,9.5,20.44,40.94,37.56,16.81,52.63,47.38,6.24,11.0,18.81
2000-10-11,9.563,20.75,39.38,37.69,16.81,52.81,46.81,6.24,10.81,19.25
2000-10-12,9.25,20.63,41.0,37.63,16.81,52.19,47.88,6.48,10.94,18.88
2000-10-13,9.563,20.5,40.5,37.31,16.38,50.69,45.5,6.4,10.44,19.31
2000-10-16,9.875,20.63,39.94,37.31,16.5,51.13,46.63,6.16,10.19,19.06
2000-10-17,9.875,20.56,41.25,36.88,16.5,50.19,47.13,6.28,10.0,18.75
2000-10-18,9.625,20.19,40.0,37.0,16.5,50.31,47.94,6.04,10.0,18.44
2000-10-19,9.5,19.81,36.75,37.81,16.44,49.31,47.81,6.4,10.19,18.69
2000-10-20,9.625,19.5,37.63,37.69,16.25,48.75,46.56,6.24,10.19,19.25
2000-10-23,9.625,20.13,38.63,38.19,16.19,49.75,46.75,6.24,10.06,19.69
2000-10-24,9.938,20.13,37.0,38.56,16.13,51.56,46.13,6.24,10.19,19.38
2000-10-25,10.38,20.31,36.19,39.13,15.94,52.69,48.5,6.4,10.38,19.25
2000-10-26,10.44,20.56,36.5,39.25,16.44,51.88,47.0,6.12,10.75,18.25
2000-10-27,10.5,20.5,35.75,39.63,16.81,52.56,48.13,6.2,11.31,18.56
2000-10-30,10.88,21.25,34.81,41.0,17.13,53.88,49.13,6.44,11.19,18.12
2000-10-31,11.0,21.38,36.0,41.75,16.81,54.31,48.44,6.48,11.19,20.38
2000-11-01,11.13,21.81,34.5,41.13,17.25,54.56,48.0,6.24,12.0,19.75
2000-11-02,10.94,21.69,34.25,40.5,17.5,53.75,47.06,6.2,12.94,20.0
2000-11-03,10.81,22.25,34.13,40.31,17.38,54.31,45.81,6.56,13.31,20.06
2000-11-06,10.88,22.38,33.13,40.75,17.69,56.38,47.5,7.0,13.38,19.88
2000-11-07,10.94,22.5,34.0,40.31,17.63,57.31,47.13,7.0,13.13,20.12
2000-11-08,11.0,22.56,32.5,40.94,17.5,58.0,47.38,6.56,13.94,19.75
2000-11-09,11.0,23.0,33.0,40.75,17.69,58.63,49.0,7.32,14.38,20.12
2000-11-10,11.25,23.5,33.88,41.0,17.69,60.38,48.81,7.44,14.25,20.06
2000-11-13,11.5,23.63,33.0,40.63,17.63,59.81,48.19,7.56,13.75,19.62
2000-11-14,11.44,23.81,34.17,40.25,18.06,59.0,47.81,8.04,12.38,20.0
2000-11-15,11.69,24.13,33.13,40.38,18.19,59.88,46.56,7.6,12.75,18.88
2000-11-16,11.63,24.81,33.38,40.31,18.63,60.69,44.31,7.6,12.31,17.38
2000-11-17,11.75,26.13,33.94,40.06,18.56,60.0,43.94,8.0,12.25,18.12
2000-11-20,11.56,25.44,34.5,40.38,18.69,59.06,45.0,7.56,11.94,18.81
2000-11-21,11.44,25.75,35.0,41.94,18.69,59.56,46.5,7.52,12.75,19.25
2000-11-22,11.38,24.94,34.31,42.06,18.0,59.69,44.75,7.6,13.38,19.0
2000-11-24,11.38,25.13,35.25,41.25,17.94,59.31,44.5,8.12,12.75,19.12
2000-11-27,11.69,25.19,35.22,41.38,18.44,60.5,44.38,8.08,13.44,18.88
2000-11-28,11.75,25.69,34.94,40.81,18.31,61.94,45.13,7.56,13.31,19.25
2000-11-29,11.88,25.75,34.0,41.69,18.19,64.38,45.38,7.52,13.81,19.44
2000-11-30,12.75,25.44,34.13,41.13,18.75,63.25,45.38,7.48,14.0,18.38
2000-12-01,12.75,25.38,35.75,40.75,18.69,63.0,42.38,7.44,14.0,19.34
2000-12-04,12.88,25.88,35.56,40.88,18.75,62.63,43.81,7.44,12.5,20.25
2000-12-05,13.25,24.69,35.5,40.31,17.69,60.31,44.19,7.52,12.13,19.88
2000-12-06,13.25,24.44,35.25,39.5,17.88,60.69,45.31,7.48,11.75,19.94
2000-12-07,13.06,24.94,36.94,40.0,18.06,61.31,46.94,7.6,12.0,19.75
2000-12-08,12.81,24.69,37.63,40.75,18.44,60.75,47.44,7.6,12.19,20.12
2000-12-11,12.56,23.44,37.94,39.19,18.44,58.0,47.06,7.6,12.25,19.94
2000-12-12,12.38,24.25,42.25,39.31,17.56,58.0,47.38,7.56,11.75,18.5
2000-12-13,12.44,24.31,40.75,39.69,17.44,59.13,48.44,7.44,11.75,19.12
2000-12-14,12.56,24.5,37.94,39.94,17.25,59.25,49.75,7.48,11.31,19.0
2000-12-15,12.88,23.88,39.94,39.63,16.75,58.69,48.81,7.32,11.25,18.81
2000-12-18,13.38,24.25,41.5,41.13,17.0,60.81,49.31,7.32,11.75,18.5
2000-12-19,13.63,24.88,42.38,40.88,16.94,61.25,49.19,7.44,11.5,17.56
2000-12-20,13.38,25.06,45.0,41.69,16.94,61.63,48.88,7.28,11.5,17.44
2000-12-21,13.94,25.44,42.0,41.69,17.19,61.5,48.75,7.56,12.44,15.81
2000-12-22,13.81,25.5,38.81,42.5,17.81,61.69,48.63,8.0,12.69,17.75
2000-12-26,14.0,25.38,37.25,43.75,18.19,64.38,48.88,7.6,12.56,17.5
2000-12-27,14.31,26.0,36.5,44.13,18.13,65.63,48.88,7.36,12.63,19.38
2000-12-28,14.63,26.06,36.94,44.31,19.13,65.44,48.75,7.48,12.75,19.38
2000-12-29,15.0,26.0,37.88,44.56,18.63,64.38,49.56,7.52,12.75,18.38
